docking_score,smile
-6.0,C[C@H](C(=O)O)c1ccc2oc(c3ccc(Cl)cc3)nc2c1
-5.1,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1ccnc1
-5.1,CCN(CC)CC(=O)N1c2ccccc2Sc2ccccc12
-4.6,CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1
-4.4,CCN(CC)C(=O)c1ccc(O)c(OC)c1
-5.1,CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@H](O)c1ccccc1)C2
-5.4,C[C@@H]1C[C@H](OC(=O)c2ccccc2O)CC(C)(C)C1
-5.1,CCn1ccnc1C[C@H]1COc2ccccc2O1
-5.2,Cc1cc(=O)c2c(O)c3ccoc3c(OC[C@H](O)CNC(C)C)c2o1
-5.0,C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1
-4.9,Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C
-5.5,C[C@@H]1C[C@@H]2Oc3ccc(Cl)cc3C(=O)N2O1
-5.1,CC(=O)Oc1c(C)cc(OC[C@H](O)CNC(C)C)c(C)c1C
-5.9,CC(C)(Oc1ccc([C@@H]2CCCc3ccccc23)cc1)C(=O)O
-5.0,CC[C@@H](C)[C@H](C(=O)OC1CC[N+](C)(C)CC1)c1ccccc1
-5.3,c1ccc2c(c1)OC[C@H](CN1CCCCC1)O2
-5.5,CC(C)NC[C@@H](O)c1ccc(O)c2ncccc12
-5.9,CC(C)=C[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C
-4.8,O=C(OC[C@@H]1CCCO1)c1cccnc1
-6.3,COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1
-5.6,CC(C)/C=c1\[nH]c(=O)/c(=C\c2ccccc2)[nH]c1=O
-5.8,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1
-5.5,CNC(=O)Oc1ccccc1C(=O)Nc1ccccc1
-5.6,C=C(C(=O)OC1C[C@H]2CC[C@@H](C1)N2C)c1ccccc1
-5.8,Nc1ncnc2c1ncn2Cc1c(F)cccc1Cl
-6.0,Cc1cc(Cc2cnc(N)nc2N)c2cccnc2c1N(C)C
-5.3,CC(=O)Oc1ccc(Br)cc1C(=O)O
-6.0,CN(C)c1cccc(F)c1C(=O)NC(=O)Nc1ccc(Cl)cc1
-5.7,COC(=O)[C@H]1[C@H]2CC[C@@H](C[C@H]1OC(=O)c1ccccc1)N2C
-5.3,O=C(O)c1cccnc1Nc1cccc(Cl)c1Cl
-5.0,COc1ccc(/C(C)=C\C(=O)O)c(OC)c1
-5.4,CN1[C@@H]2CC[C@H]1CC(OC(=O)C(c1ccccc1)c1ccccc1)C2
-6.6,CC(=O)Oc1ccc2c(c1)CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@H]21
-5.2,CCOc1cc(NC(C)=O)ccc1C(=O)OC
-6.0,CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1
-4.9,CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1
-5.2,Cn1cc2c(cccc2NC2=NCCN2)n1
-5.6,O=C(O)c1ccccc1Nc1cc(Cl)ccc1C(=O)O
-5.3,CCc1cc2cc(OC)c(OC)cc2c(Cc2ccccc2)n1
-5.4,O=[N+]([O-])c1ccc(-c2nc3ccccc3c(N(CCO)CCO)n2)o1
-5.8,O=[N+]([O-])c1ccc(S(=O)(=O)/N=c2/cccc[nH]2)cc1
-5.7,O=C(Nc1ccc(O)cc1)c1ccccc1O
-5.6,CC(=O)Nc1ccc(OC(=O)c2cccs2)cc1
-6.1,NNc1nnc(Cc2ccncc2)c2ccccc21
-5.4,CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1
-5.1,CCc1ncnc2cc(OC)c(OC)cc21
-6.0,CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O
-4.6,c1csc(C2(N3CCCCC3)CCCCC2)c1
-4.7,Cc1cccc(C)c1NC1=NCCCS1
-5.3,CCOc1ccccc1O[C@H](c1ccccc1)[C@@H]1CNCCO1
-5.2,CCOc1ccccc1O[C@@H](c1ccccc1)[C@H]1CNCCO1
-5.1,O=c1[nH]c2sccc2c2ccccc12
-6.7,Nc1nc2c(cnn2Cc2ccccc2F)c(-c2ccco2)n1
-5.6,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
-4.2,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl
-5.5,Nc1ncnc2c1ncn2[C@H]1O[C@@H](CO)C[C@H]1F
-5.3,CCOC(=O)CC(=O)N1CCS[C@H]1COc1ccccc1OC
-4.9,CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C
-5.2,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
-6.1,CCCC(=O)O[C@@H]1C[C@@H](n2cc(C)c(=O)[nH]c2=O)O[C@H]1CO
-5.8,Nc1ccc(C(=O)N2C[C@@H]3C[C@@H](CN(Cc4ccccc4)C3)C2)cc1
-5.8,CCC[C@@H]1C(=O)N2c3cc(C)ccc3N=C(N(C)C)N2C1=O
-5.0,Cn1cc([S@@](C)=O)c(=O)c2ccc(F)cc21
-5.2,Nc1c2ccc(Cl)cc2nc2c1CCCC2
-5.2,S=C(NCCc1ccccn1)Nc1ccc(Br)cn1
-6.1,O=S(=O)(c1cccc2cnccc21)N1CCCNCC1
-6.0,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1
-5.8,O=C1[C@@H](CSCc2ccccc2)NC(=S)N1c1ccccc1
-5.4,COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1N
-5.7,Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1
-5.0,Cc1sc(N)nc1-c1ccc(Cl)cc1
-5.3,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1
-6.1,N#C[C@H]1C=Cc2ccccc2N1C(=O)/C=C/c1ccccc1
-5.9,Cc1ccc(S(=O)(=O)Nc2cc(C)c(O)c(C)c2)cc1
-6.1,Cc1ccc(S(=O)(=O)c2nc(c3ccccc3)oc2N(C)C)cc1
-5.9,O=S(=O)(c1ccc(Cl)cc1)N1CCC[C@H]1c1cccs1
-6.0,O=C(c1ccccc1Cl)N1CCC(Cc2ccccc2)CC1
-6.2,O=c1cc(N2CCOCC2)oc2c3ccccc3ccc12
-5.8,Oc1ccc(NC2Cc3ccccc3C2)cc1
-5.8,O=Cc1c(O)cccc1OCc1ccc(C(=O)O)cc1
-5.0,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1
-5.8,COc1ccccc1NC(=O)c1ccc(C(C)(C)C)cc1
-6.4,COc1cccc(NC(=O)c2ccc(C(C)(C)C)cc2)c1
-5.2,CCN(CC)c1nc2ccccc2n2cnnc12
-5.5,C[N+](C)(C)CCCC(=O)c1ccc(C(=O)CCC[N+](C)(C)C)cc1
-5.2,Cc1sc(-c2ccc(Cl)cc2)nc1O
-5.5,CCN1c2ncccc2NC(=O)c2cc(Br)cnc21
-5.3,CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1
-4.8,Nc1ccc2oc(=O)ccc2c1I
-5.9,CN1C(=O)N(c2ccccc2)C2(CCNCC2)C1=O
-4.7,CCN(CC)CC(=O)Nc1c(C)cccc1C
-6.3,NS(=O)(=O)c1cc([C@]2(O)NC(=O)c3ccccc32)ccc1Cl
-6.0,CC(=CCc1c(O)cc(O)c2c(=O)cc(c3ccc(O)cc3)oc12)C
-6.2,CC(=O)Oc1ccccc1C(=O)Oc1cccc(CO[N+](=O)[O-])c1
-6.0,CNc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(NC)n1
-5.4,O=C1NC(=O)c2ccc(Cl)c3cccc1c32
-5.6,CC(C)(C)NC(=O)c1ccc2ccccc2c1
-5.7,Nc1nc2c(ncn2[C@@H]2CC[C@H](CO)O2)c(=O)[nH]1
-5.6,c1ccc(CSc2ncnc3ccccc32)nc1
-6.3,c1ccc2[nH]c(CSc3ncnc4ccccc34)nc2c1
-6.0,c1nn2cc(-c3ccncc3)cnc2c1-c1cccnc1
-5.2,CCOC(=O)Cn1nc(C(F)(F)F)c(Br)c1C
-5.2,O=C([C@@H]1CC12CCC2)N1CCc2ccccc21
-6.4,O=C1c2ccccc2C(=O)N1CSc1nc2ccccc2s1
-5.5,CC(=O)N1c2ccccc2[C@H](Nc2ccccc2)C[C@H]1C
-5.8,CC(=O)N1c2ccccc2[C@@H](Nc2ccccc2)C[C@@H]1C
-5.6,Cc1ccccc1N[C@H]1C[C@@H](C)Nc2c(C)cccc12
-6.2,O=C1OC(=N/C/1=C\c1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1
-5.2,CN1C(=O)C[C@H]2C[C@]1(C)Oc1ccccc12
-7.2,O=C1OC(=N/C/1=C/c1ccc2ccccc2c1)c1ccccc1Cl
-5.7,CC(C)(C)c1ccc(C2=N/C(=C/c3cccs3)/C(=O)O2)cc1
-6.2,O=C(O)[C@@H](Cc1ccccc1)N1C(=O)c2ccccc2C1=O
-5.1,Cc1ccccc1C[N+](C)(C)CCC(=O)c1ccccc1
-6.4,CCc1ccc([C@H](C)NC(=O)/C=C/c2ccc(OC)cc2)cc1
-6.6,O=C(Nc1ccccc1)Nc1ccccc1NC(=O)Nc1ccccc1
-6.3,O=C1N[C@@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-6.0,O=C1N[C@H](SCc2ccc(Cl)cc2)Nc2ccccc12
-6.6,O=C(Cc1ccccc1)Nc1cccc(C(=O)Nc2nccs2)c1
-5.8,CCN(CC)c1ccc(Nc2cc(=O)[nH]c(=O)[nH]2)cc1
-6.3,O=C(Nc1cc([N+](=O)[O-])cc2c1C=Cc1ccccc1O2)c1ccco1
-6.1,Cc1[nH]c2c(c1CCNC(=O)c1ccnn1C)c(F)ccc2C
-6.5,COc1ccccc1C(=O)NCCc1c(C)[nH]c2c1c(F)ccc2C
-6.4,Cc1cc(C)n(c2ccc(Cl)c(C(=O)OCc3ccccc3)c2)n1
-5.8,CC(=O)Cn1c2ccccc2nc1SCCc1ccccc1
-5.0,CC(=O)CCn1c2ccccc2nc1SC1CCCCC1
